,index,borough
0,Centre-SudSouth,4720
1,Hochelaga,4207
2,Montréal-NordNorth,3868
3,Plateau Mont-RoyalSoutheast,3791
4,MercierNorth,3280
5,Centre-SudNorth,3129
6,Montréal-NordSouth,3045
7,Petite-PatrieSouthwest,2938
8,Maisonneuve,2483
9,Saint-MichelWest,2454
10,Old Montreal,2423
11,Petite-PatrieNortheast,2389
12,VerdunNorth,2330
13,Plateau Mont-RoyalNorth Central,2311
14,Parc-Extension,2220
15,Ville Émard,2134
16,Rivière-des-PrairiesSouthwest,2131
17,MercierWest,2085
18,Outremont,2072
19,Saint-LéonardSoutheast,2009
20,RosemontNorth,2006
21,RosemontCentral,1966
22,Downtown MontrealSoutheast (Concordia University),1948
23,VilleraySoutheast,1945
24,MercierSoutheast,1937
25,RosemontSouth,1935
26,Plateau Mont-RoyalSouth Central,1868
27,LachineEast,1832
28,Pointe-aux-Trembles,1721
29,"Saint-Michel,East",1718
30,Downtown MontrealEast,1685
31,Notre-Dame-de-GrâceNortheast,1670
32,Côte-des-NeigesNorth,1658
33,Saint-Henri,1655
34,AnjouEast,1639
35,Plateau Mont-RoyalWest,1614
36,Saint-LéonardWest,1608
37,Saint-LaurentInner Northeast,1596
38,Downtown MontrealSouthwest,1547
39,Montreal East,1529
40,VillerayNortheast,1529
41,AhuntsicSouthwest,1442
42,LaSalleWest,1434
43,Côte-des-NeigesSouthwest,1404
44,Downtown Montreal North(McGill University),1364
45,WestmountSouth,1355
46,Saint-LaurentOuter Northeast,1313
47,Plateau Mont-RoyalNorth,1260
48,AhuntsicCentral,1228
49,Saint-LéonardNorth,1205
50,VillerayWest,1175
51,Pointe-Saint-Charles,1169
52,Hampstead / Côte Saint-Luc,1140
53,AhuntsicEast,1095
54,VerdunSouth,1081
55,AhuntsicNorth,1072
56,Côte-des-NeigesNortheast,1060
57,Pointe-Claire,1035
58,LaSalleNorthwest,1011
59,Notre-Dame-de-GrâceSouthwest,1004
60,Griffintown(Includes Île Notre-Dame & Île Sainte-Hélène)(Université de Montréal),986
61,AnjouWest,935
62,Dorval / L'Île-Dorval,920
63,Petite-Bourgogne,905
64,Saint-LaurentCentral,886
65,Downtown MontrealNortheast,827
66,CartiervilleNortheast,822
67,CartiervilleCentral,813
68,Sainte-Geneviève / Pierrefonds,811
69,LaSalleSoutheast,804
70,Dollard-des-OrmeauxEast,791
71,LachineWest,775
72,Côte Saint-LucEast,773
73,AhuntsicSoutheast,738
74,Côte Saint-LucWest,669
75,"Pierrefonds-RoxboroRoxboro, A Ma Baie, Cloverdale[3]",653
76,Saint-LaurentEast,601
77,Mount RoyalSouth,576
78,Rivière-des-PrairiesNortheast,505
79,L'Île-Des-Soeurs,491
80,Beaconsfield,460
81,DorvalOutskirts,451
82,WestmountNorth,439
83,CartiervilleSouthwest,429
84,Saint-LaurentSoutheast,421
85,Dollard-des-OrmeauxSouthwest,370
86,Dollard-des-OrmeauxNorthwest,349
87,Pierrefonds,347
88,Kirkland,342
89,Sainte-Anne-De-Bellevue,338
90,Montreal West,309
91,Saint-LaurentSouthwest,277
92,Mount RoyalNorth,265
93,Côte-des-NeigesEast,232
94,Mount RoyalCentral,183
95,L'Île-BizardNortheast,176
96,Senneville,135
97,DorvalCentral (YUL),122
98,Place Desjardins,106
99,Tour de la Bourse,88
100,L'Île-BizardSouthwest,50
